"","Consensus_vector_0.15","Region","Value_MO","Value_YM","helper_vector","Middle","Old","Young","movers_tot"
"19","4","Frontal_Inf_Tri_L_1_19",0.0424832037735265,0.113671274961598,19,"Connector","Connector","Connector",1
"20","4","Frontal_Inf_Tri_L_2_20",0.0836720344360413,0.202037351443124,20,"Connector","Connector","Provincial",0
"21","1","Frontal_Inf_Tri_L_3_21",0.0597975878111702,0.157167111326704,21,"Connector","Connector","Connector",1
"22","1","Frontal_Inf_Tri_L_3_22",0.0603267700041894,0.157167111326704,22,"Connector","Satellite","Connector",0
"23","3","Frontal_Inf_Tri_R_2_23",0.0635606611837513,0.174791818255316,23,"Satellite","Satellite","Satellite",1
"24","1","Frontal_Mid_L_1_24",0.0989570700945911,0.22265340771283,24,"Provincial","Provincial","Provincial",1
"25","4","Frontal_Mid_L_2_25",0.0542820067438063,0.158056431401083,25,"Connector","Connector","Provincial",0
"26","4","Frontal_Mid_L_2_26",0.0526854771336943,0.158056431401083,26,"Connector","Provincial","Provincial",0
"27","4","Frontal_Mid_L_3_27",0.0292397660818713,0.087719298245614,27,"Peripheral","Peripheral","Provincial",0
"28","4","Frontal_Mid_L_3_28",0.0292397660818713,0.087719298245614,28,"Satellite","Peripheral","Provincial",0
"29","3","Frontal_Mid_L_4_29",0.161263373487482,0.313040666181583,29,"Satellite","Satellite","Satellite",1
"30","4","Frontal_Mid_L_5_30",0.037611134385328,0.110599078341014,30,"Satellite","Connector","Connector",0
"31","4","Frontal_Mid_Orb_L_1_31",0.181881879674749,0.300105101463336,31,"Peripheral","Peripheral","Peripheral",1
"32","4","Frontal_Mid_Orb_L_2_32",0.0899391957682845,0.238499474492683,32,"Provincial","Provincial","Provincial",1
"33","2","Frontal_Sup_L_1_33",0.0625307430627182,0.161492440779368,33,"Connector","Satellite","Satellite",0
