"","Consensus_vector_0.15","1st_network","Region","Age_group","MODULAR","freq"
"246","1","DMN","Frontal_Mid_L_1","Old","Provincial",0.444444444444444
"247","1","DMN","Frontal_Mid_L_1","Old","Satellite",0.0707070707070707
"248","1","DMN","Frontal_Mid_L_1","Old","Peripheral",0.124579124579125
"249","1","DMN","Frontal_Mid_L_1","Young","Connector",0.271889400921659
"250","1","DMN","Frontal_Mid_L_1","Young","Provincial",0.470046082949309
"251","1","DMN","Frontal_Mid_L_1","Young","Satellite",0.110599078341014
"252","1","DMN","Frontal_Mid_L_1","Young","Peripheral",0.147465437788018
"253","4","CON","Frontal_Mid_L_2","Middle","Connector",0.403508771929825
"254","4","CON","Frontal_Mid_L_2","Middle","Provincial",0.368421052631579
"255","4","CON","Frontal_Mid_L_2","Middle","Satellite",0.157894736842105
"256","4","CON","Frontal_Mid_L_2","Middle","Peripheral",0.0701754385964912
"257","4","CON","Frontal_Mid_L_2","Old","Connector",0.343434343434343
"258","4","CON","Frontal_Mid_L_2","Old","Provincial",0.333333333333333
"259","4","CON","Frontal_Mid_L_2","Old","Satellite",0.215488215488215
"260","4","CON","Frontal_Mid_L_2","Old","Peripheral",0.107744107744108
"261","4","CON","Frontal_Mid_L_2","Young","Connector",0.354838709677419
"262","4","CON","Frontal_Mid_L_2","Young","Provincial",0.391705069124424
"263","4","CON","Frontal_Mid_L_2","Young","Satellite",0.152073732718894
"264","4","CON","Frontal_Mid_L_2","Young","Peripheral",0.101382488479263
"265","4","FPN","Frontal_Mid_L_3","Middle","Connector",0.228070175438596
"266","4","FPN","Frontal_Mid_L_3","Middle","Provincial",0.228070175438596
"267","4","FPN","Frontal_Mid_L_3","Middle","Satellite",0.271929824561404
"268","4","FPN","Frontal_Mid_L_3","Middle","Peripheral",0.271929824561404
"269","4","FPN","Frontal_Mid_L_3","Old","Connector",0.269360269360269
"270","4","FPN","Frontal_Mid_L_3","Old","Provincial",0.195286195286195
"271","4","FPN","Frontal_Mid_L_3","Old","Satellite",0.202020202020202
"272","4","FPN","Frontal_Mid_L_3","Old","Peripheral",0.333333333333333
"273","4","FPN","Frontal_Mid_L_3","Young","Connector",0.221198156682028
"274","4","FPN","Frontal_Mid_L_3","Young","Provincial",0.32258064516129
"275","4","FPN","Frontal_Mid_L_3","Young","Satellite",0.211981566820276
"276","4","FPN","Frontal_Mid_L_3","Young","Peripheral",0.244239631336406
"277","3","DMN","Frontal_Mid_L_4","Middle","Connector",0.228070175438596
"278","3","DMN","Frontal_Mid_L_4","Middle","Provincial",0.0175438596491228
"279","3","DMN","Frontal_Mid_L_4","Middle","Satellite",0.56140350877193
"280","3","DMN","Frontal_Mid_L_4","Middle","Peripheral",0.192982456140351
"281","3","DMN","Frontal_Mid_L_4","Old","Connector",0.178451178451178
"282","3","DMN","Frontal_Mid_L_4","Old","Provincial",0.0303030303030303
"283","3","DMN","Frontal_Mid_L_4","Old","Satellite",0.515151515151515
"284","3","DMN","Frontal_Mid_L_4","Old","Peripheral",0.276094276094276
"285","3","DMN","Frontal_Mid_L_4","Young","Connector",0.230414746543779
"286","3","DMN","Frontal_Mid_L_4","Young","Provincial",0.032258064516129
"287","3","DMN","Frontal_Mid_L_4","Young","Satellite",0.557603686635945
"288","3","DMN","Frontal_Mid_L_4","Young","Peripheral",0.179723502304147
"289","4","CON","Frontal_Mid_L_5","Middle","Connector",0.263157894736842
"290","4","CON","Frontal_Mid_L_5","Middle","Provincial",0.219298245614035
"291","4","CON","Frontal_Mid_L_5","Middle","Satellite",0.333333333333333
"292","4","CON","Frontal_Mid_L_5","Middle","Peripheral",0.184210526315789
"293","4","CON","Frontal_Mid_L_5","Old","Connector",0.34006734006734
"294","4","CON","Frontal_Mid_L_5","Old","Provincial",0.171717171717172
"295","4","CON","Frontal_Mid_L_5","Old","Satellite",0.276094276094276
"296","4","CON","Frontal_Mid_L_5","Old","Peripheral",0.212121212121212
"297","4","CON","Frontal_Mid_L_5","Young","Connector",0.331797235023041
"298","4","CON","Frontal_Mid_L_5","Young","Provincial",0.248847926267281
"299","4","CON","Frontal_Mid_L_5","Young","Satellite",0.235023041474654
"300","4","CON","Frontal_Mid_L_5","Young","Peripheral",0.184331797235023
"301","4","FPN","Frontal_Mid_Orb_L_1","Middle","Connector",0.0263157894736842
"302","4","FPN","Frontal_Mid_Orb_L_1","Middle","Provincial",0.0964912280701754
"303","4","FPN","Frontal_Mid_Orb_L_1","Middle","Satellite",0.315789473684211
"304","4","FPN","Frontal_Mid_Orb_L_1","Middle","Peripheral",0.56140350877193
"305","4","FPN","Frontal_Mid_Orb_L_1","Old","Connector",0.0336700336700337
"306","4","FPN","Frontal_Mid_Orb_L_1","Old","Provincial",0.0437710437710438
"307","4","FPN","Frontal_Mid_Orb_L_1","Old","Satellite",0.316498316498317
"308","4","FPN","Frontal_Mid_Orb_L_1","Old","Peripheral",0.606060606060606
"309","4","FPN","Frontal_Mid_Orb_L_1","Young","Connector",0.0414746543778802
"310","4","FPN","Frontal_Mid_Orb_L_1","Young","Provincial",0.0921658986175115
"311","4","FPN","Frontal_Mid_Orb_L_1","Young","Satellite",0.331797235023041
"312","4","FPN","Frontal_Mid_Orb_L_1","Young","Peripheral",0.534562211981567
"313","4","FPN","Frontal_Mid_Orb_L_2","Middle","Connector",0.254385964912281
"314","4","FPN","Frontal_Mid_Orb_L_2","Middle","Provincial",0.517543859649123
"315","4","FPN","Frontal_Mid_Orb_L_2","Middle","Satellite",0.140350877192982
"316","4","FPN","Frontal_Mid_Orb_L_2","Middle","Peripheral",0.087719298245614
"317","4","FPN","Frontal_Mid_Orb_L_2","Old","Connector",0.242424242424242
"318","4","FPN","Frontal_Mid_Orb_L_2","Old","Provincial",0.377104377104377
"319","4","FPN","Frontal_Mid_Orb_L_2","Old","Satellite",0.198653198653199
"320","4","FPN","Frontal_Mid_Orb_L_2","Old","Peripheral",0.181818181818182
"321","4","FPN","Frontal_Mid_Orb_L_2","Young","Connector",0.235023041474654
"322","4","FPN","Frontal_Mid_Orb_L_2","Young","Provincial",0.460829493087558
"323","4","FPN","Frontal_Mid_Orb_L_2","Young","Satellite",0.152073732718894
"324","4","FPN","Frontal_Mid_Orb_L_2","Young","Peripheral",0.152073732718894
"325","2","CON","Frontal_Sup_L_1","Middle","Connector",0.412280701754386
"326","2","CON","Frontal_Sup_L_1","Middle","Provincial",0.12280701754386
"327","2","CON","Frontal_Sup_L_1","Middle","Satellite",0.350877192982456
"328","2","CON","Frontal_Sup_L_1","Middle","Peripheral",0.114035087719298
"329","2","CON","Frontal_Sup_L_1","Old","Connector",0.2996632996633
"330","2","CON","Frontal_Sup_L_1","Old","Provincial",0.161616161616162
"331","2","CON","Frontal_Sup_L_1","Old","Satellite",0.387205387205387
"332","2","CON","Frontal_Sup_L_1","Old","Peripheral",0.151515151515152
"333","2","CON","Frontal_Sup_L_1","Young","Connector",0.308755760368664
"334","2","CON","Frontal_Sup_L_1","Young","Provincial",0.184331797235023
"335","2","CON","Frontal_Sup_L_1","Young","Satellite",0.391705069124424
"336","2","CON","Frontal_Sup_L_1","Young","Peripheral",0.115207373271889
"337","1","DMN","Frontal_Sup_L_2","Middle","Connector",0.333333333333333
"338","1","DMN","Frontal_Sup_L_2","Middle","Provincial",0.447368421052632
"339","1","DMN","Frontal_Sup_L_2","Middle","Satellite",0.105263157894737
"340","1","DMN","Frontal_Sup_L_2","Middle","Peripheral",0.114035087719298
"341","1","DMN","Frontal_Sup_L_2","Old","Connector",0.34006734006734
"342","1","DMN","Frontal_Sup_L_2","Old","Provincial",0.437710437710438
